state_name;grade;subject;state_id;score;standard error;category
Nagaland;10;sci;13;204;1.9;1
Odisha;10;sci;21;205;0.4;0
Puducherry;10;sci;34;225;2;2
Punjab;10;sci;3;254;0.6;2
Rajasthan;10;sci;8;238;0.4;2
Sikkim;10;sci;11;200;2.7;1
Tamil Nadu;10;sci;33;195;0.3;0
Telangana;10;sci;36;202;0.5;0
Tripura;10;sci;16;198;1.4;0
Uttar Pradesh;10;sci;9;191;0.2;0
Uttarakhand;10;sci;5;207;0.7;2
West Bengal;10;sci;19;205;0.4;0
National Average;10;sci;0;206;0.1;3
Andaman & Nicobar Islands;10;sst;35;245;4.8;2
Andhra Pradesh;10;sst;28;228;0.5;0
Arunachal Pradesh;10;sst;12;240;2.7;2
Assam;10;sst;18;226;0.5;0
Bihar;10;sst;10;222;0.3;0
Chandigarh;10;sst;4;287;2.6;2
Chhattisgarh;10;sst;22;216;0.4;0
Dadra & Nagar Haveli;10;sst;26;216;2.9;0
Daman & Diu;10;sst;25;231;6.9;1
Delhi;10;sst;7;259;0.6;2
Goa;10;sst;30;256;2.5;2
Gujarat;10;sst;24;232;0.3;2
Haryana;10;sst;6;254;0.6;2
Himachal Pradesh;10;sst;2;234;1.1;2
Jammu & Kashmir;10;sst;1;237;1.1;2
Jharkhand;10;sst;20;231;0.4;1
Karnataka;10;sst;29;235;0.4;2
Kerala;10;sst;32;239;0.4;2
Ladakh;10;sst;37;237;7;1
Lakshadweep;10;sst;31;230;11.2;1
Madhya Pradesh;10;sst;23;229;0.3;0
Maharashtra;10;sst;27;233;0.3;2
Manipur;10;sst;14;246;1.7;2
Meghalaya;10;sst;17;216;1.6;0
Mizoram;10;sst;15;217;2.3;0
Nagaland;10;sst;13;241;2.1;2
Odisha;10;sst;21;227;0.4;0
Puducherry;10;sst;34;255;2.2;2
Punjab;10;sst;3;270;0.5;2
Rajasthan;10;sst;8;261;0.4;2
Sikkim;10;sst;11;237;2.9;1
Tamil Nadu;10;sst;33;222;0.3;0
Telangana;10;sst;36;226;0.5;0
Tripura;10;sst;16;225;1.4;0
Uttar Pradesh;10;sst;9;214;0.2;0
Uttarakhand;10;sst;5;231;0.7;1
West Bengal;10;sst;19;232;0.4;2
National Average;10;sst;0;231;0.1;3
