district_name;state_name;udise_district_code;grade;updated_at;created_at;district_id;state_id;subject;boys;boys_basic_and_below_basic;boys_proficient_and_advance;girls;girls_basic_and_below_basic;girls_proficient_and_advance;trans_gender
North Garo Hills;Meghalaya;1708;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;math;27.289131;98.036385;1.9636117;28.391289;97.61184;2.3881583;5
North Garo Hills;Meghalaya;1708;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;language;31.995375;92.36209;7.637906;32.208946;95.58938;4.410621;0
North Garo Hills;Meghalaya;1708;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;math;24.938232;98.17881;1.821192;25.859198;97.258385;2.741616;0
North Garo Hills;Meghalaya;1708;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;sci;29.08405;94.2579;5.742105;27.913788;98.131805;1.8681908;0
North Garo Hills;Meghalaya;1708;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;sst;27.639639;98.24946;1.7505444;28.476492;98.02936;1.9706392;0
North Garo Hills;Meghalaya;1708;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1708;17;eng;29.03257;71.7923;28.207705;31.553553;64.76305;35.236958;0
North Garo Hills;Meghalaya;1708;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1708;17;math;23.58088;98.31648;1.6835197;24.710377;96.338715;3.661283;0
North Garo Hills;Meghalaya;1708;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1708;17;mil;24.280283;100;0;23.984177;100;0;0
North Garo Hills;Meghalaya;1708;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1708;17;sci;25.209974;100;0;26.648388;100;0;20
North Garo Hills;Meghalaya;1708;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1708;17;sst;26.916555;99.76652;0.23347981;28.680622;99.017426;0.9825721;0
East Jaintia Hills;Meghalaya;1709;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1709;17;evs;50.94975;65.88784;34.11216;52.212505;64.527534;35.47246;20
East Jaintia Hills;Meghalaya;1709;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1709;17;language;53.818455;65.40903;34.590973;58.276276;61.738857;38.261143;6.6666665
East Jaintia Hills;Meghalaya;1709;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1709;17;math;47.785755;69.67846;30.321545;49.086895;69.7408;30.2592;17.647058
East Jaintia Hills;Meghalaya;1709;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;evs;39.933327;77.70312;22.296883;37.341183;86.54675;13.453251;0
East Jaintia Hills;Meghalaya;1709;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;language;44.5034;76.60065;23.399357;45.377922;77.447235;22.552769;0
East Jaintia Hills;Meghalaya;1709;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;math;38.32021;82.36925;17.630754;32.74496;92.317085;7.6829157;0
East Jaintia Hills;Meghalaya;1709;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;language;40.853096;84.61905;15.380952;39.727333;88.698135;11.301862;0
East Jaintia Hills;Meghalaya;1709;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;math;30.96487;86.55764;13.442363;30.299164;86.0934;13.906598;0
East Jaintia Hills;Meghalaya;1709;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;sci;31.589092;90.37057;9.629436;32.255142;88.24045;11.759555;0
East Jaintia Hills;Meghalaya;1709;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;sst;31.786755;94.22198;5.7780223;32.426666;88.9909;11.009106;0
East Jaintia Hills;Meghalaya;1709;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1709;17;eng;37.91631;49.847115;50.152885;36.325413;47.059025;52.940975;0
East Jaintia Hills;Meghalaya;1709;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1709;17;math;28.119946;91.071;8.929003;26.278486;94.62384;5.3761573;0
East Jaintia Hills;Meghalaya;1709;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1709;17;mil;25.723463;99.08272;0.917284;24.850792;99.86352;0.13648197;0
East Jaintia Hills;Meghalaya;1709;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1709;17;sci;30.83449;97.746605;2.2533956;31.225607;98.02711;1.9728931;0
East Jaintia Hills;Meghalaya;1709;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1709;17;sst;29.58757;95.12117;4.8788304;30.591887;98.80554;1.1944559;0
South West Khasi Hills;Meghalaya;1710;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1710;17;evs;44.93624;73.914986;26.085014;48.32927;69.95705;30.04295;33.333332
South West Khasi Hills;Meghalaya;1710;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1710;17;language;47.58445;76.71224;23.287762;51.46697;73.2589;26.7411;40
South West Khasi Hills;Meghalaya;1710;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1710;17;math;41.51113;81.493225;18.506773;44.14002;75.04451;24.955488;17.647058
South West Khasi Hills;Meghalaya;1710;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1710;17;evs;34.52305;88.03545;11.964548;37.323647;86.393684;13.6063175;0
South West Khasi Hills;Meghalaya;1710;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1710;17;language;43.400394;78.18873;21.81127;46.524982;73.35173;26.648268;0
South West Khasi Hills;Meghalaya;1710;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1710;17;math;33.129997;88.08548;11.914523;32.17493;89.58977;10.410232;0
South West Khasi Hills;Meghalaya;1710;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1710;17;language;37.946934;90.074715;9.925288;37.588608;91.9592;8.040805;0
South West Khasi Hills;Meghalaya;1710;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1710;17;math;27.627686;89.58257;10.41743;27.965944;93.30525;6.694747;0
South West Khasi Hills;Meghalaya;1710;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1710;17;sci;33.140602;92.13799;7.862007;31.360222;91.33612;8.663881;0
South West Khasi Hills;Meghalaya;1710;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1710;17;sst;31.906752;94.327065;5.6729383;32.808582;89.20595;10.79405;0
South West Khasi Hills;Meghalaya;1710;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1710;17;eng;36.477432;51.724987;48.275013;40.01195;42.273582;57.726418;0
South West Khasi Hills;Meghalaya;1710;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1710;17;math;26.760084;92.45781;7.5421896;25.077848;93.37602;6.6239758;0
South West Khasi Hills;Meghalaya;1710;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1710;17;mil;24.196007;100;0;21.994251;100;0;0
South West Khasi Hills;Meghalaya;1710;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1710;17;sci;30.121525;99.63408;0.36591727;30.711313;99.021126;0.978874;0
South West Khasi Hills;Meghalaya;1710;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1710;17;sst;32.342663;92.968605;7.031394;33.40628;91.858406;8.141597;0
South West Garo Hills;Meghalaya;1711;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1711;17;evs;41.007133;80.03948;19.96052;38.389076;78.11824;21.881758;0
South West Garo Hills;Meghalaya;1711;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1711;17;language;43.065384;80.77447;19.225533;39.994907;83.51007;16.489925;0
South West Garo Hills;Meghalaya;1711;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1711;17;math;39.358875;81.44497;18.555029;36.416473;82.34642;17.653578;0
South West Garo Hills;Meghalaya;1711;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1711;17;evs;40.98275;78.541565;21.458433;39.516323;81.84444;18.155565;0
South West Garo Hills;Meghalaya;1711;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1711;17;language;43.77418;75.49632;24.50368;42.25707;73.89275;26.107244;0
South West Garo Hills;Meghalaya;1711;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1711;17;math;34.810448;86.766685;13.233312;32.250305;91.2409;8.759102;0
South West Garo Hills;Meghalaya;1711;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1711;17;language;31.531597;97.2705;2.7295012;35.582336;90.991325;9.008678;23.333334
South West Garo Hills;Meghalaya;1711;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1711;17;math;28.08984;89.149536;10.850465;26.450136;95.620476;4.3795233;30
South West Garo Hills;Meghalaya;1711;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1711;17;sci;27.55187;97.58717;2.4128299;28.994316;95.67195;4.3280478;0
South West Garo Hills;Meghalaya;1711;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1711;17;sst;29.868185;92.804634;7.1953664;28.696898;97.54682;2.4531803;0
South West Garo Hills;Meghalaya;1711;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1711;17;eng;40.122112;50.28754;49.71246;37.657402;57.08967;42.91033;0
