district_name;state_name;udise_district_code;grade;updated_at;created_at;district_id;state_id;subject;central_govt;central_govt_basic_and_below_basic;central_govt_proficient_and_advance;govt;govt_aided;govt_aided_basic_and_below_basic;govt_aided_proficient_and_advance;govt_basic_and_below_basic;govt_proficient_and_advance;private;private_basic_and_below_basic;private_proficient_and_advance
West Jaintia Hills;Meghalaya;1707;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;sst;41.11111;86.666664;13.333333;33.757015;33.952038;91.988716;8.011288;94.388054;5.6119447;32.652756;97.89196;2.108037
West Jaintia Hills;Meghalaya;1707;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1707;17;eng;57.42857;0;100;41.236847;41.35109872;35.35094676;64.64905324;35.98142;64.01858;41.057785;39.403152;60.596848
West Jaintia Hills;Meghalaya;1707;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1707;17;math;31.904762;83.333336;16.666666;25.171642;26.93187612;91.53579754;8.464202464;97.325874;2.6741292;26.268068;90.853226;9.146772
West Jaintia Hills;Meghalaya;1707;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1707;17;mil;28.83117;100;0;22.141344;26.25982784;89.60943547;10.39056453;100;0;22.998775;100;0
West Jaintia Hills;Meghalaya;1707;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1707;17;sci;36.103897;100;0;30.604462;30.83026992;96.98461538;3.015384615;100;0;31.898888;95.90721;4.0927896
West Jaintia Hills;Meghalaya;1707;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1707;17;sst;39.74026;81.818184;18.181818;31.07283;30.12119006;98.73573343;1.26426657;97.672676;2.3273273;32.38147;96.6733;3.326702
North Garo Hills;Meghalaya;1708;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1708;17;evs;0;0;0;44.87993;40.27855;85.04353;14.956466;79.70711;20.292892;34.49339;91.453354;8.546644
North Garo Hills;Meghalaya;1708;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1708;17;language;0;0;0;50.759857;41.851322;84.36045;15.639551;82.9581;17.041903;37.775455;90.589;9.411006
North Garo Hills;Meghalaya;1708;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1708;17;math;0;0;0;41.50497;33.93948;95.76922;4.2307787;82.35099;17.649014;32.15164;93.81794;6.182061
North Garo Hills;Meghalaya;1708;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;evs;0;0;0;35.036663;32.88711;90.82863;9.171374;88.542114;11.457885;34.11408;88.32743;11.672566
North Garo Hills;Meghalaya;1708;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;language;0;0;0;40.803223;33.773384;89.33145;10.66855;83.85453;16.145466;40.65796;80.2934;19.706596
